period,series,lectures,writing,math,code,figures,references,links,admonitions,overall,HIGH,MEDIUM,LOW,NONE
2026-05,lecture-python-intro,50,7.5,8.7,9.5,6.2,8.9,9.7,9.9,8.7,5,0,14,31
2026-05,lecture-python-programming,26,5.7,9.1,9.8,7.2,,9.8,9.9,8.6,6,0,9,11
2026-05,lecture-python.myst,110,5.9,6.6,9.0,6.2,9.4,9.7,10.0,8.0,52,1,29,28
2026-05,lecture-python-advanced.myst,62,7.3,6.0,9.3,6.2,8.9,9.6,10.0,8.1,26,0,20,16
2026-05,lecture-dp,52,7.0,6.4,9.0,6.2,9.2,9.7,10.0,8.2,15,1,18,18
2026-05,TOTAL,300,6.6,6.9,9.2,6.3,9.2,9.7,10.0,8.2,104,2,90,104
2026-08,lecture-python-intro,56,7.1,8.7,8.9,6.3,9.0,9.7,9.9,8.6,8,0,19,29
2026-08,lecture-python-programming,27,5.7,9.1,9.8,7.2,,9.9,9.9,8.6,6,0,10,11
2026-08,lecture-python.myst,145,6.9,7.1,9.2,6.3,9.4,9.8,10.0,8.3,41,1,42,61
2026-08,lecture-python-advanced.myst,68,7.3,5.9,9.3,6.2,9.0,9.6,10.0,8.1,29,0,21,18
2026-08,lecture-dp,52,7.0,6.4,9.0,6.2,9.2,9.7,10.0,8.2,15,1,18,18
2026-08,TOTAL,348,6.9,7.1,9.2,6.3,9.2,9.7,10.0,8.3,99,2,110,137
