period,corpus_size,rule,lectures_affected,total_occurrences,share_pct
2026-05,300,qe-fig-005,237,1088,79.0
2026-05,300,qe-writing-008,233,7392,77.7
2026-05,300,qe-fig-008,199,1358,66.3
2026-05,300,qe-fig-001,185,740,61.7
2026-05,300,qe-writing-001,165,413,55.0
2026-05,300,qe-writing-006,144,874,48.0
2026-05,300,qe-fig-003,138,542,46.0
2026-05,300,qe-math-010,103,1316,34.3
2026-05,300,qe-ref-001,96,226,32.0
2026-05,300,qe-writing-004,94,296,31.3
2026-05,300,qe-code-002,93,433,31.0
2026-05,300,qe-link-002,73,209,24.3
2026-05,300,qe-math-002,67,1685,22.3
2026-05,300,qe-fig-006,59,315,19.7
2026-05,300,qe-math-003,41,334,13.7
2026-05,300,qe-fig-002,38,106,12.7
2026-05,300,qe-math-011,37,154,12.3
2026-05,300,qe-code-003,36,43,12.0
2026-05,300,qe-math-004,34,587,11.3
2026-05,300,qe-writing-009,33,67,11.0
2026-05,300,qe-code-004,28,128,9.3
2026-05,300,qe-fig-004,27,89,9.0
2026-05,300,qe-link-001,15,24,5.0
2026-05,300,qe-math-001,14,26,4.7
2026-05,300,qe-fig-007,13,71,4.3
2026-05,300,qe-math-008,7,7,2.3
2026-05,300,qe-math-013,7,7,2.3
2026-05,300,qe-math-005,6,11,2.0
2026-05,300,qe-code-005,6,12,2.0
2026-05,300,qe-math-012,5,7,1.7
2026-05,300,qe-math-006,5,14,1.7
2026-05,300,qe-fig-010,4,4,1.3
2026-05,300,qe-math-007,2,2,0.7
2026-05,300,qe-admon-002,1,1,0.3
2026-05,300,qe-admon-003,1,2,0.3
2026-08,348,qe-fig-005,273,1115,78.4
2026-08,348,qe-writing-008,237,7123,68.1
2026-08,348,qe-fig-001,224,892,64.4
2026-08,348,qe-fig-008,216,1382,62.1
2026-08,348,qe-writing-001,173,442,49.7
2026-08,348,qe-fig-003,165,630,47.4
2026-08,348,qe-writing-006,145,780,41.7
2026-08,348,qe-math-010,118,1397,33.9
2026-08,348,qe-code-002,106,579,30.5
2026-08,348,qe-ref-001,105,282,30.2
2026-08,348,qe-writing-004,105,339,30.2
2026-08,348,qe-link-002,73,205,21.0
2026-08,348,qe-math-002,70,1648,20.1
2026-08,348,qe-fig-004,63,183,18.1
2026-08,348,qe-fig-006,60,298,17.2
2026-08,348,qe-math-003,46,363,13.2
2026-08,348,qe-fig-002,38,104,10.9
2026-08,348,qe-math-011,35,142,10.1
2026-08,348,qe-math-004,33,584,9.5
2026-08,348,qe-code-003,32,39,9.2
2026-08,348,qe-code-004,31,144,8.9
2026-08,348,qe-writing-009,30,61,8.6
2026-08,348,qe-math-001,16,30,4.6
2026-08,348,qe-fig-007,13,71,3.7
2026-08,348,qe-link-001,12,21,3.4
2026-08,348,qe-math-008,7,7,2.0
2026-08,348,qe-math-005,7,14,2.0
2026-08,348,qe-code-005,7,13,2.0
2026-08,348,qe-math-013,6,6,1.7
2026-08,348,qe-math-006,5,14,1.4
2026-08,348,qe-math-012,4,6,1.1
2026-08,348,qe-fig-010,4,4,1.1
2026-08,348,qe-math-007,2,2,0.6
2026-08,348,qe-admon-002,1,1,0.3
2026-08,348,qe-admon-003,1,2,0.3
