series,lecture,writing,math,code,jax,figures,references,links,admonitions,overall,priority
lecture-dp,amss,3.5,3.5,8.0,out-of-scope,6.0,10.0,10.0,10.0,7.3,HIGH
lecture-dp,amss2,3.5,10.0,8.5,out-of-scope,6.0,8.5,10.0,N/A,7.8,HIGH
lecture-dp,amss3,3.5,9.0,8.5,out-of-scope,5.5,7.5,10.0,10.0,7.7,HIGH
lecture-dp,calvo,3.0,5.5,8.5,out-of-scope,7.0,8.5,8.0,10.0,7.2,HIGH
lecture-dp,calvo_abreu,4.0,9.0,7.5,out-of-scope,9.0,8.5,10.0,N/A,8.0,HIGH
lecture-dp,calvo_machine_learn,4.0,3.0,6.5,out-of-scope,8.0,10.0,10.0,10.0,7.4,HIGH
lecture-dp,career,8.0,9.5,8.5,out-of-scope,6.5,10.0,10.0,10.0,8.9,NONE
lecture-dp,chang_credible,3.0,10.0,8.5,out-of-scope,9.5,10.0,10.0,N/A,8.5,HIGH
lecture-dp,chang_ramsey,3.0,10.0,8.5,out-of-scope,6.0,8.5,10.0,N/A,7.7,HIGH
lecture-dp,cons_news,3.0,4.5,8.5,out-of-scope,6.0,10.0,7.5,N/A,6.6,HIGH
lecture-dp,cross_product_trick,4.0,3.0,N/A,out-of-scope,N/A,N/A,10.0,N/A,5.7,HIGH
lecture-dp,discrete_dp,4.0,7.0,6.5,out-of-scope,6.0,9.0,7.0,10.0,7.1,HIGH
lecture-dp,dyn_stack,4.0,5.0,8.5,out-of-scope,5.0,10.0,7.5,10.0,7.1,HIGH
lecture-dp,ifp_advanced,3.0,3.0,6.5,out-of-scope,7.0,8.5,10.0,10.0,6.9,HIGH
lecture-dp,ifp_discrete,6.0,7.0,8.0,out-of-scope,8.5,10.0,10.0,10.0,8.5,LOW
lecture-dp,ifp_egm,3.0,9.0,6.5,out-of-scope,6.5,10.0,10.0,10.0,7.9,HIGH
lecture-dp,ifp_egm_transient_shocks,3.5,9.5,7.5,out-of-scope,5.5,9.0,10.0,10.0,7.9,HIGH
lecture-dp,ifp_opi,5.0,10.0,8.0,out-of-scope,6.0,N/A,9.0,10.0,8.0,LOW
lecture-dp,intro,10.0,N/A,N/A,out-of-scope,N/A,N/A,10.0,N/A,10.0,NONE
lecture-dp,inventory_q,4.0,5.5,7.5,out-of-scope,6.0,10.0,10.0,N/A,7.2,HIGH
lecture-dp,jv,3.5,9.5,7.5,out-of-scope,6.5,9.0,10.0,10.0,8.0,HIGH
lecture-dp,lagrangian_lqdp,3.0,3.0,7.0,out-of-scope,N/A,10.0,7.5,10.0,6.8,HIGH
lecture-dp,lq_inventories,4.0,3.0,7.5,out-of-scope,7.0,10.0,10.0,10.0,7.4,HIGH
lecture-dp,lqcontrol,3.0,3.0,7.5,out-of-scope,4.5,10.0,8.0,10.0,6.6,HIGH
lecture-dp,lqramsey,6.5,3.0,7.5,out-of-scope,8.0,10.0,10.0,10.0,7.9,HIGH
lecture-dp,markov_jump_lq,5.0,3.0,7.5,out-of-scope,5.5,8.5,9.0,N/A,6.4,HIGH
lecture-dp,mccall_fitted_vfi,7.0,8.0,7.5,out-of-scope,5.5,9.0,10.0,10.0,8.1,LOW
lecture-dp,mccall_model,3.0,7.0,7.5,out-of-scope,6.0,10.0,8.0,10.0,7.4,HIGH
lecture-dp,mccall_model_with_sep_markov,5.0,10.0,7.5,out-of-scope,5.5,N/A,10.0,10.0,8.0,LOW
lecture-dp,mccall_model_with_separation,6.5,8.5,7.5,out-of-scope,8.5,10.0,10.0,10.0,8.7,NONE
lecture-dp,mccall_persist_trans,9.5,6.5,6.0,out-of-scope,8.0,10.0,10.0,10.0,8.6,NONE
lecture-dp,mccall_q,3.0,9.5,7.0,out-of-scope,7.0,9.0,10.0,N/A,7.6,HIGH
lecture-dp,odu,3.0,9.0,7.5,out-of-scope,5.0,9.0,8.0,10.0,7.4,HIGH
lecture-dp,opt_tax_recur,4.0,5.0,8.5,out-of-scope,4.5,9.0,10.0,10.0,7.3,HIGH
lecture-dp,os,6.0,9.0,9.0,out-of-scope,8.0,10.0,10.0,10.0,8.9,NONE
lecture-dp,os_egm,5.5,9.5,7.5,out-of-scope,9.0,10.0,10.0,10.0,8.8,NONE
