series,lecture,rule,count,proposed,build_risk
lecture-python-intro,about,qe-link-002,1,0,0
lecture-python-intro,about,qe-writing-001,2,0,0
lecture-python-intro,ar1_processes,qe-code-002,10,0,0
lecture-python-intro,ar1_processes,qe-fig-001,1,0,0
lecture-python-intro,ar1_processes,qe-fig-005,6,0,0
lecture-python-intro,ar1_processes,qe-fig-008,9,0,0
lecture-python-intro,ar1_processes,qe-math-010,2,1,0
lecture-python-intro,ar1_processes,qe-ref-001,1,0,0
lecture-python-intro,ar1_processes,qe-writing-001,3,0,0
lecture-python-intro,ar1_processes,qe-writing-008,1,0,0
lecture-python-intro,ar1_processes,qe-writing-009,1,1,0
lecture-python-intro,bayes_intro,qe-code-002,8,0,0
lecture-python-intro,bayes_intro,qe-fig-001,3,0,0
lecture-python-intro,bayes_intro,qe-fig-003,2,0,0
lecture-python-intro,bayes_intro,qe-fig-005,10,0,0
lecture-python-intro,bivariate_dist,qe-code-002,1,0,0
lecture-python-intro,bivariate_dist,qe-code-003,1,0,0
lecture-python-intro,bivariate_dist,qe-fig-001,5,0,0
lecture-python-intro,bivariate_dist,qe-fig-003,8,0,0
lecture-python-intro,bivariate_dist,qe-fig-005,1,0,0
lecture-python-intro,bivariate_dist,qe-fig-006,2,0,0
lecture-python-intro,bivariate_dist,qe-fig-008,2,0,0
lecture-python-intro,bivariate_dist,qe-math-010,15,1,0
lecture-python-intro,business_cycle,qe-code-003,1,0,0
lecture-python-intro,business_cycle,qe-fig-001,1,0,0
lecture-python-intro,business_cycle,qe-fig-004,2,0,0
lecture-python-intro,business_cycle,qe-fig-006,1,0,0
lecture-python-intro,business_cycle,qe-fig-008,2,0,0
lecture-python-intro,business_cycle,qe-writing-001,1,0,0
lecture-python-intro,business_cycle,qe-writing-004,1,0,0
lecture-python-intro,cagan_adaptive,qe-fig-001,4,0,0
lecture-python-intro,cagan_adaptive,qe-fig-003,1,0,0
lecture-python-intro,cagan_adaptive,qe-fig-005,4,0,0
lecture-python-intro,cagan_adaptive,qe-fig-008,12,0,0
lecture-python-intro,cagan_adaptive,qe-ref-001,1,0,0
lecture-python-intro,cagan_adaptive,qe-writing-008,32,0,0
lecture-python-intro,cagan_ree,qe-fig-001,3,0,0
lecture-python-intro,cagan_ree,qe-fig-005,4,0,0
lecture-python-intro,cagan_ree,qe-fig-008,5,0,0
lecture-python-intro,cagan_ree,qe-writing-001,1,0,0
lecture-python-intro,cagan_ree,qe-writing-004,2,0,0
lecture-python-intro,cagan_ree,qe-writing-008,1,0,0
lecture-python-intro,cobweb,qe-fig-001,2,0,0
lecture-python-intro,cobweb,qe-fig-003,1,0,0
lecture-python-intro,cobweb,qe-fig-005,2,0,0
lecture-python-intro,cobweb,qe-fig-008,7,0,0
lecture-python-intro,commod_price,qe-code-002,2,0,0
